amount,hour,category,distance_from_home_km,txns_last_24h,is_foreign,card_present,actual_fraud
29.57,16,online_retail,32.5,1,0,1,0
93.83,22,online_retail,23.8,2,0,0,0
14.17,11,restaurant,7.3,3,0,1,0
19.41,12,online_retail,30.8,1,0,1,0
3.92,9,grocery,35.8,1,0,1,0
14.08,17,restaurant,0.2,2,0,0,0
15.07,11,fuel,16.0,1,0,1,0
21.96,22,grocery,4.4,1,0,1,0
46.42,22,electronics,7.5,1,0,1,0
53.43,22,online_retail,9.2,2,0,1,0
111.23,15,grocery,54.1,1,0,1,0
204.36,19,online_retail,18.0,2,1,0,0
13.66,19,fuel,10.2,3,0,0,0
73.95,19,restaurant,13.8,2,0,1,0
47.11,20,online_retail,16.5,2,1,0,0
80.22,19,electronics,29.5,1,0,1,0
31.58,9,electronics,0.2,1,0,1,0
44.93,15,fuel,6.4,2,0,1,0
9.37,16,grocery,63.8,2,0,1,0
9.97,8,restaurant,1.5,1,0,1,0
41.46,13,grocery,11.8,1,0,1,0
8.86,14,online_retail,13.0,4,0,0,0
23.06,13,grocery,17.9,1,0,1,0
33.81,7,electronics,6.9,2,0,1,0
110.95,13,grocery,1.1,1,0,1,0
78.13,14,grocery,9.8,1,0,0,0
87.76,14,grocery,1.5,2,1,0,0
65.22,20,restaurant,21.3,1,0,1,0
192.07,16,atm,8.7,1,0,1,0
27.02,15,atm,5.0,0,0,1,0
42.29,19,electronics,9.4,1,0,1,0
30.38,12,restaurant,11.9,0,1,1,0
174.45,8,grocery,19.7,0,0,1,0
97.12,8,restaurant,41.6,3,0,1,0
32.35,10,restaurant,3.1,0,0,1,0
17.18,20,restaurant,8.6,0,0,0,0
108.87,17,grocery,69.6,2,0,0,0
10.95,18,grocery,16.0,2,0,1,0
17.16,15,electronics,10.6,1,0,1,0
8.97,8,restaurant,8.1,2,0,1,0
7.62,19,grocery,4.5,1,0,1,0
18.38,9,grocery,3.4,2,0,0,0
39.35,11,travel,1.6,0,0,1,0
18.29,14,online_retail,12.5,0,0,0,0
4.66,20,grocery,14.2,2,0,0,0
156.44,15,restaurant,43.1,2,0,1,0
1035.18,15,fuel,4.4,0,0,1,0
22.73,14,grocery,14.6,6,0,1,0
50.85,14,travel,13.3,0,0,0,0
95.49,16,restaurant,11.3,2,0,1,0
102.56,18,restaurant,36.2,0,1,0,0
78.7,18,grocery,4.4,1,0,1,0
34.51,8,atm,0.0,3,0,1,0
105.91,9,online_retail,14.4,1,0,1,0
68.33,14,restaurant,14.6,0,0,1,0
46.24,13,electronics,5.8,1,0,1,0
58.07,10,electronics,24.9,0,0,0,0
91.67,8,restaurant,5.9,1,0,1,0
52.5,16,restaurant,0.1,3,0,1,0
52.4,12,atm,1.7,1,0,1,0
13.51,14,restaurant,6.1,1,0,1,0
115.01,11,fuel,4.0,2,0,1,0
136.81,9,restaurant,0.2,0,0,0,0
142.11,15,online_retail,8.0,1,0,1,0
18.74,18,electronics,9.5,2,0,1,0
59.25,19,online_retail,48.9,1,0,0,0
28.21,18,grocery,4.2,1,0,0,0
41.89,9,grocery,0.3,0,0,0,0
3.17,12,fuel,8.8,1,1,0,0
143.38,11,grocery,17.9,3,0,0,0
413.89,2,travel,174.8,3,0,0,1
26.17,8,restaurant,19.9,1,0,1,0
41.61,16,travel,12.6,1,0,1,0
134.28,12,electronics,18.0,3,0,1,0
43.88,22,grocery,3.7,5,0,1,0
89.99,12,grocery,24.1,1,0,1,0
8.86,17,grocery,6.6,3,0,1,0
87.82,14,electronics,26.2,1,0,1,0
46.53,8,grocery,4.0,1,0,0,0
22.6,14,electronics,7.8,0,0,1,0
44.74,18,online_retail,3.1,4,0,1,0
114.3,9,atm,4.9,1,0,0,0
20.57,9,online_retail,1.8,0,0,0,0
91.0,17,grocery,6.4,1,0,1,0
106.41,20,restaurant,18.2,1,0,1,0
31.89,8,online_retail,42.4,1,0,1,0
217.93,16,electronics,6.4,2,0,1,0
4.54,16,atm,0.4,3,0,1,0
17.67,11,electronics,1.8,1,0,0,0
36.59,14,electronics,9.8,2,0,1,0
21.25,16,grocery,14.2,3,0,1,0
19.67,16,grocery,20.1,0,0,0,0
29.72,7,electronics,26.4,2,0,0,0
49.73,21,online_retail,3.8,0,0,1,0
67.91,21,fuel,23.2,0,0,0,0
51.34,15,restaurant,3.9,0,0,1,0
11.57,10,travel,2.0,1,0,1,0
5.52,7,online_retail,13.9,1,0,1,0
64.56,10,grocery,7.0,0,0,1,0
44.24,20,grocery,17.6,1,0,0,0
11.31,9,grocery,17.7,1,0,1,0
33.55,15,grocery,5.0,0,0,1,0
67.88,13,fuel,4.9,0,0,1,0
20.51,15,fuel,7.3,0,0,1,0
262.83,22,electronics,2.7,2,0,1,0
10.32,15,electronics,8.2,2,0,1,0
42.33,19,grocery,1.8,1,0,1,0
34.2,16,online_retail,6.0,3,0,1,0
31.58,10,grocery,29.5,1,0,1,0
21.89,10,travel,5.8,1,0,1,0
27.57,12,online_retail,2.6,3,0,1,0
23.11,9,grocery,6.5,1,0,1,0
75.48,18,restaurant,2.6,1,0,1,0
30.3,22,online_retail,2.1,3,0,1,0
87.69,12,restaurant,2.4,3,0,1,0
14.7,11,fuel,31.2,3,0,1,0
10.27,13,grocery,5.5,3,0,1,0
42.72,21,grocery,3.1,2,0,1,0
39.34,7,online_retail,5.5,3,0,1,0
18.47,14,fuel,5.4,3,0,1,0
28.89,18,online_retail,79.5,0,0,0,0
19.62,20,grocery,39.6,0,0,1,0
35.71,7,atm,13.5,1,1,0,0
11.52,7,travel,7.9,3,0,0,0
7.47,12,restaurant,19.3,2,0,1,0
225.89,18,grocery,21.1,0,0,1,0
83.55,13,atm,15.9,1,0,1,0
312.93,2,jewelry,100.1,3,0,0,1
256.35,21,atm,29.9,0,0,0,0
77.75,21,restaurant,9.7,2,0,0,0
138.17,9,grocery,11.3,1,0,1,0
46.13,22,restaurant,10.8,1,0,0,0
101.1,17,grocery,27.4,0,0,1,0
39.67,7,fuel,50.5,0,0,0,0
20.51,9,electronics,16.7,0,1,0,0
3.29,22,restaurant,9.0,1,0,1,0
144.33,8,restaurant,4.7,2,0,1,0
15.39,9,online_retail,13.9,1,0,0,0
100.94,13,online_retail,28.4,4,0,1,0
7.58,20,online_retail,1.8,1,0,0,0
20.43,7,grocery,11.6,3,0,1,0
94.51,13,online_retail,27.4,1,0,1,0
25.69,21,grocery,10.1,0,0,0,0
4.56,18,restaurant,6.4,1,0,1,0
44.91,20,fuel,1.8,4,0,1,0
26.09,15,restaurant,11.0,1,0,1,0
126.53,18,grocery,0.0,4,0,1,0
26.59,20,grocery,9.3,3,0,1,0
113.4,11,restaurant,4.3,1,0,1,0
15.57,10,electronics,1.1,1,0,0,0
15.39,19,electronics,16.9,4,0,1,0
34.01,10,fuel,26.2,2,0,1,0
10.59,7,electronics,18.2,3,0,1,0
51.31,9,restaurant,7.6,2,0,1,0
24.48,19,grocery,20.4,2,0,1,0
105.97,8,atm,15.1,2,0,1,0
29.35,16,fuel,9.8,1,0,1,0
12.0,18,grocery,14.1,2,0,0,0
61.3,18,restaurant,17.6,2,0,1,0
49.34,22,restaurant,1.1,0,0,1,0
4.1,10,restaurant,3.3,1,0,1,0
45.27,7,restaurant,12.9,2,0,0,0
23.27,9,fuel,13.1,2,0,0,0
17.56,11,fuel,13.1,0,0,0,0
15.95,13,fuel,11.8,2,0,1,0
56.1,20,electronics,5.8,0,0,1,0
82.73,22,fuel,20.3,2,0,1,0
19.97,17,fuel,4.9,1,0,0,0
51.77,13,grocery,0.4,0,0,1,0
50.77,11,online_retail,8.3,1,0,0,0
8.81,11,fuel,1.3,2,0,1,0
19.25,10,online_retail,4.0,1,0,1,0
25.18,21,atm,9.4,2,0,1,0
37.26,7,grocery,13.5,1,0,1,0
108.29,15,grocery,6.4,2,0,0,0
15.78,11,grocery,11.0,2,0,1,0
35.81,13,online_retail,6.5,1,0,1,0
74.64,9,restaurant,22.9,2,0,1,0
41.82,8,restaurant,15.0,1,0,1,0
7.64,15,atm,25.5,4,0,1,0
392.37,8,grocery,0.9,1,0,0,0
14.86,14,online_retail,0.2,0,0,0,0
44.41,15,grocery,9.2,1,0,1,0
72.7,17,grocery,10.5,4,0,1,0
11.09,8,grocery,21.5,1,0,1,0
28.56,18,electronics,3.7,0,0,1,0
29.46,9,fuel,20.2,2,0,1,0
80.24,12,fuel,16.0,3,0,1,0
55.05,15,atm,4.2,3,0,1,0
47.4,10,grocery,0.0,2,0,1,0
8.21,18,restaurant,25.5,1,1,1,0
113.58,18,atm,10.8,0,1,1,0
