amount,hour,category,distance_from_home_km,txns_last_24h,is_foreign,card_present,fraud_probability,actual_fraud
10.09,7,restaurant,2.4,0,0,0,0.1062,0
33.24,13,atm,15.2,2,0,1,0.0895,0
35.11,21,restaurant,1.6,0,0,1,0.0867,0
89.78,20,electronics,7.5,0,0,1,0.0926,0
31.48,10,travel,19.5,2,0,0,0.0739,0
10.12,22,grocery,13.2,0,0,1,0.0511,0
123.54,0,electronics,27.4,4,0,0,0.9731,1
10.36,9,grocery,9.2,2,0,1,0.0748,0
115.45,10,grocery,0.3,3,0,0,0.0398,0
12.78,18,restaurant,5.3,1,0,1,0.0994,0
65.87,11,restaurant,4.4,2,0,0,0.2246,0
9.79,9,restaurant,1.2,3,0,0,0.2178,0
70.14,14,online_retail,10.5,2,0,0,0.0936,0
255.95,21,grocery,9.9,3,0,0,0.1204,0
78.13,10,grocery,0.0,1,0,1,0.0588,0
47.6,21,online_retail,7.0,0,0,1,0.1769,0
283.3,18,restaurant,12.2,3,0,1,0.1261,0
15.79,12,atm,11.8,0,0,1,0.0915,0
94.08,10,grocery,15.0,2,0,1,0.0488,0
59.4,9,grocery,0.6,1,1,1,0.1767,0
55.22,20,grocery,21.2,1,0,1,0.0893,0
381.25,11,grocery,49.2,1,0,1,0.244,0
13.88,7,fuel,6.1,4,0,0,0.1181,0
143.74,7,fuel,4.6,3,0,1,0.103,0
23.21,12,online_retail,27.3,2,0,0,0.1135,0
809.32,4,travel,31.0,7,0,0,0.9692,1
202.16,16,grocery,25.1,2,0,1,0.1032,0
308.73,19,restaurant,14.8,2,0,1,0.1022,0
34.14,9,online_retail,5.5,0,0,0,0.1603,0
61.4,10,grocery,6.3,0,0,0,0.0682,0
46.81,15,online_retail,678.9,8,0,0,0.9674,1
89.27,7,electronics,7.2,1,0,1,0.0892,0
194.0,7,jewelry,12.0,1,0,0,0.0808,0
35.6,10,grocery,5.6,0,0,1,0.0811,0
20.85,18,grocery,7.0,4,0,0,0.1014,0
21.68,20,online_retail,18.8,0,0,1,0.1599,0
26.05,21,restaurant,18.0,0,0,1,0.0786,0
134.46,15,restaurant,2.7,1,0,1,0.1223,0
27.84,22,online_retail,4.2,3,0,0,0.0662,0
12.27,22,restaurant,3.0,1,0,1,0.0811,0
5.15,15,grocery,0.9,0,0,0,0.3591,0
366.52,9,restaurant,2.7,3,0,1,0.1093,0
51.57,22,electronics,1.9,2,0,0,0.1735,0
24.57,13,travel,4.2,0,0,1,0.0936,0
157.24,8,fuel,24.4,0,0,1,0.0826,0
64.51,18,grocery,5.5,2,1,1,0.1575,0
30.54,10,fuel,8.6,3,0,0,0.0775,0
13.71,20,fuel,3.7,2,0,1,0.0922,0
7.81,13,electronics,11.1,1,0,1,0.0826,0
13.56,14,restaurant,14.0,1,0,1,0.0972,0
50.46,21,grocery,4.2,2,0,1,0.3588,0
8.46,10,atm,6.3,1,0,1,0.1007,0
242.36,21,atm,13.5,1,0,1,0.1517,0
109.15,18,restaurant,3.6,1,0,0,0.0867,0
85.33,13,fuel,16.6,1,0,0,0.091,0
28.2,13,online_retail,17.8,2,0,0,0.0901,0
6.37,13,atm,0.2,1,0,1,0.1368,0
110.04,22,restaurant,7.4,3,0,1,0.0893,0
265.05,0,atm,239.6,8,0,0,0.9693,1
6.29,13,restaurant,6.6,1,0,1,0.252,0
18.52,11,restaurant,22.2,2,0,1,0.2234,0
7.75,11,online_retail,18.4,2,0,1,0.0698,0
99.92,1,travel,65.1,6,0,0,0.9695,1
52.15,22,grocery,15.3,1,0,1,0.0772,0
9.62,19,grocery,7.1,0,0,1,0.0795,0
6.9,14,online_retail,0.8,1,0,1,0.1565,0
23.43,11,grocery,2.1,2,0,1,0.1134,0
71.59,16,online_retail,0.7,2,1,1,0.0961,0
30.53,22,grocery,4.3,2,0,1,0.0733,0
54.86,21,electronics,14.7,2,0,1,0.0569,0
41.04,19,restaurant,5.5,0,1,1,0.0998,0
38.64,9,fuel,20.2,2,0,0,0.0794,0
187.72,13,grocery,17.1,1,0,1,0.0944,0
26.79,20,grocery,10.4,2,0,1,0.1062,0
35.22,10,travel,11.2,2,0,1,0.0713,0
114.57,16,fuel,1.3,1,0,1,0.0891,0
20.95,9,online_retail,1.0,2,0,1,0.1504,0
69.64,10,grocery,5.5,1,0,1,0.0803,0
75.04,21,restaurant,8.9,0,0,1,0.1445,0
44.56,18,restaurant,51.4,1,0,1,0.0398,0
9.63,14,fuel,4.5,1,0,1,0.0837,0
27.17,12,fuel,20.3,1,0,1,0.1357,0
32.67,21,atm,37.5,2,0,1,0.057,0
31.44,17,restaurant,15.0,2,0,1,0.1079,0
99.37,20,atm,16.5,1,0,1,0.1327,0
29.74,22,fuel,45.6,2,0,0,0.0324,0
24.07,22,restaurant,0.6,1,1,1,0.0586,0
4.96,17,electronics,9.3,4,0,1,0.1091,0
232.11,8,travel,1.8,0,0,0,0.1323,0
33.08,10,grocery,2.3,2,0,1,0.0816,0
60.05,7,grocery,8.7,1,0,1,0.0797,0
29.18,12,restaurant,13.6,1,0,1,0.0967,0
48.29,15,fuel,2.7,1,0,1,0.1327,1
21.65,14,restaurant,2.6,3,0,1,0.1011,0
47.85,19,electronics,7.3,1,0,1,0.2348,0
25.95,21,restaurant,17.4,1,0,1,0.0786,0
51.6,17,grocery,2.9,0,0,1,0.0839,0
116.53,13,grocery,4.5,2,1,0,0.0792,0
60.37,21,restaurant,28.0,2,0,1,0.054,0
166.42,17,online_retail,1.0,5,0,1,0.8342,0
13.8,11,jewelry,7.2,2,0,1,0.0921,0
34.36,12,grocery,36.0,1,0,0,0.1374,0
67.21,12,restaurant,8.7,4,0,1,0.0673,0
31.05,11,grocery,12.7,3,0,1,0.0893,0
82.23,8,electronics,3.2,0,0,1,0.1049,0
1.22,20,grocery,2.2,2,0,1,0.2801,0
3.32,15,restaurant,0.8,0,0,0,0.3165,0
10.19,12,grocery,16.8,0,0,1,0.0876,0
83.31,18,online_retail,7.4,2,0,0,0.1465,0
36.04,17,online_retail,0.8,1,0,1,0.0901,0
25.57,16,fuel,11.6,1,0,1,0.1039,0
27.45,8,fuel,26.9,0,0,0,0.1126,0
406.07,19,fuel,36.0,2,0,0,0.3375,0
12.27,22,grocery,4.5,1,0,1,0.0811,0
32.66,11,grocery,0.6,0,0,1,0.0648,0
13.32,7,restaurant,9.2,3,0,0,0.094,0
81.45,17,online_retail,8.9,2,0,1,0.1211,0
25.09,15,grocery,17.9,2,0,1,0.0962,0
143.99,13,electronics,20.1,2,0,0,0.126,0
51.43,22,fuel,10.6,4,0,0,0.0947,0
38.72,19,grocery,2.2,2,0,0,0.0975,0
120.39,20,grocery,6.2,2,0,1,0.0899,0
27.13,16,grocery,35.1,2,0,1,0.099,0
21.09,11,grocery,3.2,2,0,0,0.1574,0
38.02,22,fuel,41.6,1,0,1,0.0332,0
31.28,20,restaurant,15.7,2,0,1,0.112,0
86.33,13,online_retail,3.7,1,0,1,0.082,0
36.5,9,fuel,21.5,1,1,1,0.0763,0
42.45,7,grocery,14.8,2,0,1,0.0707,0
77.64,16,grocery,1.9,1,0,1,0.105,0
26.38,10,electronics,3.6,2,0,1,0.1076,0
209.43,15,online_retail,269.4,6,0,0,0.9682,1
24.81,19,travel,10.5,2,0,1,0.1007,0
33.93,17,fuel,6.0,2,0,0,0.1082,0
20.68,15,fuel,5.7,2,0,1,0.121,0
41.47,8,restaurant,3.9,0,0,0,0.3686,0
56.53,8,grocery,14.0,1,0,1,0.057,0
22.92,12,grocery,2.0,0,0,1,0.111,0
12.28,22,online_retail,2.1,1,0,1,0.0746,0
13.04,8,restaurant,4.3,3,0,1,0.1734,0
52.31,8,grocery,8.4,1,0,1,0.0911,0
82.21,11,grocery,7.7,3,0,1,0.0811,0
59.06,14,restaurant,2.2,3,0,1,0.0887,0
5.66,12,online_retail,25.3,3,0,0,0.0837,0
134.51,16,restaurant,3.6,1,0,1,0.1826,0
35.65,21,grocery,4.7,2,0,1,0.1517,0
18.21,10,restaurant,24.4,2,0,0,0.0717,0
12.66,18,atm,0.2,2,1,1,0.0532,0
19.1,15,restaurant,16.0,0,0,1,0.1238,0
33.79,15,restaurant,52.3,2,0,1,0.0375,0
125.22,15,atm,16.2,8,1,0,0.9486,0
37.01,15,atm,10.9,1,0,1,0.1137,0
402.19,3,online_retail,164.8,8,1,1,0.9693,1
101.74,17,online_retail,3.4,0,0,1,0.0759,0
131.78,14,restaurant,6.4,2,0,1,0.1809,0
60.93,7,restaurant,19.5,1,0,1,0.0599,0
75.22,13,online_retail,6.0,2,1,1,0.0879,0
32.26,17,grocery,1.7,1,0,1,0.1447,0
6.5,11,restaurant,7.3,1,0,1,0.1203,0
35.18,17,travel,29.0,3,0,0,0.281,0
42.87,21,restaurant,3.4,3,0,1,0.369,0
5.92,11,fuel,10.7,1,0,1,0.1056,0
75.45,20,grocery,9.6,1,0,0,0.0863,0
24.17,9,atm,13.1,2,0,1,0.0737,0
38.41,14,electronics,0.3,0,0,0,0.0775,0
7.5,13,travel,9.6,4,0,0,0.0533,0
59.7,18,atm,19.7,0,0,0,0.0876,0
165.64,16,atm,0.9,1,0,1,0.1032,0
43.27,19,online_retail,13.8,1,0,0,0.1482,0
12.79,11,atm,2.1,3,0,1,0.0859,0
44.4,17,electronics,12.4,1,0,1,0.1318,0
11.62,17,restaurant,22.3,2,0,1,0.1886,0
5.51,19,online_retail,3.2,3,0,0,0.1251,0
36.62,9,grocery,2.4,1,0,0,0.1793,0
39.32,20,grocery,3.5,2,0,1,0.1034,0
26.32,16,grocery,7.9,2,0,1,0.0982,0
115.83,17,grocery,11.9,3,0,1,0.0785,0
104.51,20,online_retail,5.0,1,0,0,0.0928,0
40.56,15,grocery,7.9,1,0,1,0.1029,0
15.37,13,online_retail,2.4,0,0,0,0.0883,0
15.85,10,restaurant,4.6,0,0,0,0.0808,0
15.76,17,restaurant,8.1,4,0,1,0.0749,0
176.98,20,atm,25.3,2,0,1,0.1081,0
51.34,14,grocery,12.3,1,0,1,0.0896,0
2.55,7,grocery,2.4,2,0,1,0.2452,0
44.75,18,grocery,13.5,0,0,1,0.1176,0
64.04,16,jewelry,18.9,0,0,1,0.0902,0
98.45,16,travel,6.2,2,0,0,0.0878,0
25.71,19,grocery,5.5,1,0,1,0.1289,0
70.77,9,grocery,0.6,3,0,1,0.1365,0
34.88,19,fuel,0.8,3,0,1,0.0974,0
35.5,21,grocery,2.3,1,0,0,0.075,0
16.79,9,atm,13.8,3,0,1,0.07,0
12.43,13,online_retail,13.8,2,0,1,0.0841,0
208.76,20,restaurant,0.0,2,0,1,0.0587,0
10.95,18,grocery,16.0,2,0,1,0.0753,0
28.92,10,grocery,6.7,2,0,0,0.0902,0
51.09,7,atm,3.6,0,0,0,0.0978,0
16.74,7,grocery,30.6,4,0,1,0.0647,0
22.16,16,online_retail,8.3,1,0,1,0.0892,0
52.31,18,grocery,1.2,1,0,1,0.0924,0
97.48,12,online_retail,37.9,1,0,1,0.0661,0
439.15,4,travel,130.4,4,0,0,0.9699,1
20.17,10,fuel,17.9,2,0,1,0.0749,0
73.1,10,atm,22.5,0,0,1,0.0791,0
125.26,18,grocery,15.5,0,0,1,0.128,0
48.96,7,grocery,19.8,2,0,1,0.0573,0
32.56,21,grocery,19.2,0,0,1,0.0833,0
25.76,15,fuel,15.9,0,0,0,0.1133,0
71.02,14,restaurant,2.5,1,0,1,0.0943,0
27.53,12,online_retail,3.2,0,0,1,0.105,0
166.57,22,electronics,5.1,1,0,0,0.1556,0
34.19,20,atm,4.3,1,0,0,0.1394,0
11.86,12,grocery,2.6,1,0,0,0.0961,0
11.56,13,fuel,2.1,3,0,1,0.083,0
54.34,8,restaurant,37.2,2,0,1,0.0847,0
34.14,7,electronics,112.8,4,0,1,0.9119,0
31.52,14,jewelry,0.3,1,0,1,0.0791,0
96.15,7,restaurant,36.4,1,1,1,0.0486,0
16.25,10,restaurant,17.9,1,0,1,0.0784,0
38.12,17,grocery,3.8,2,0,1,0.0939,0
30.46,16,atm,26.3,1,0,1,0.1324,0
81.86,13,atm,24.3,3,0,1,0.105,0
7.79,20,grocery,4.0,1,0,1,0.1037,0
12.97,21,restaurant,4.8,2,0,1,0.0988,0
39.23,18,online_retail,2.1,1,1,1,0.0737,0
64.66,21,fuel,1.9,5,0,1,0.0389,0
70.8,12,fuel,30.9,2,0,0,0.0824,0
20.1,11,online_retail,10.7,1,0,0,0.0948,0
52.76,17,online_retail,5.8,4,0,1,0.2946,0
130.32,9,travel,5.5,3,0,1,0.1261,0
107.27,13,restaurant,16.6,1,0,1,0.0915,0
12.66,20,grocery,12.3,4,1,1,0.0679,0
35.29,13,restaurant,1.1,0,0,1,0.1096,0
106.78,16,atm,10.6,1,0,1,0.0824,0
380.06,10,travel,36.8,2,0,0,0.4136,0
79.41,20,fuel,22.9,2,0,1,0.0822,0
212.79,16,restaurant,1.4,2,0,0,0.0842,0
31.14,22,grocery,4.3,6,0,1,0.1,0
6.59,22,restaurant,13.0,1,0,1,0.0656,0
131.97,7,atm,1.5,3,0,1,0.0919,0
41.3,9,grocery,2.5,1,0,1,0.2055,0
96.22,21,online_retail,43.7,3,0,1,0.0303,0
46.79,20,grocery,0.0,1,0,1,0.0689,0
5.95,9,fuel,0.9,1,0,1,0.2668,0
131.28,11,restaurant,22.8,2,0,1,0.0916,0
56.44,7,atm,3.6,1,0,1,0.099,0
23.35,7,electronics,12.8,4,0,1,0.0833,0
42.26,16,fuel,9.6,1,0,0,0.0923,0
105.86,9,online_retail,9.8,2,0,1,0.0611,0
44.33,22,grocery,21.2,1,0,0,0.0993,0
73.23,12,restaurant,4.9,0,0,1,0.0979,0
68.17,18,restaurant,11.4,0,0,0,0.0997,0
172.74,15,online_retail,3.0,1,0,1,0.0784,0
27.12,17,atm,1.8,2,0,1,0.0972,0
155.41,13,online_retail,2.1,0,0,1,0.0765,0
82.7,13,grocery,5.1,2,0,1,0.0991,0
22.92,13,fuel,20.7,2,0,0,0.2301,0
12.74,10,restaurant,10.8,1,0,1,0.0727,0
109.06,2,electronics,80.2,2,0,1,0.9634,1
359.36,9,restaurant,0.7,1,0,1,0.0824,0
8.93,16,atm,8.0,3,0,1,0.0994,0
114.92,12,fuel,4.3,2,0,1,0.0818,0
27.86,19,online_retail,19.7,3,0,1,0.1446,0
36.11,21,fuel,7.6,0,0,0,0.155,0
50.77,10,atm,2.2,1,0,0,0.0834,0
43.23,8,online_retail,15.2,1,0,1,0.1226,0
747.55,12,atm,413.9,4,1,0,0.9677,0
1290.05,4,electronics,85.6,3,1,1,0.9695,1
7.65,20,travel,0.7,2,0,1,0.0969,0
166.34,20,grocery,3.5,0,0,0,0.0925,0
36.2,19,travel,41.7,0,0,1,0.0341,0
13.9,15,grocery,3.6,2,0,1,0.0843,0
143.04,19,restaurant,7.8,0,0,0,0.0766,0
6.33,11,travel,4.9,5,0,1,0.0938,0
194.63,12,restaurant,31.9,5,0,1,0.2398,0
96.25,16,grocery,1.0,1,0,1,0.0894,0
33.23,18,fuel,8.0,2,0,1,0.1017,0
53.5,10,grocery,10.6,1,0,1,0.0599,0
180.83,13,grocery,2.7,3,0,1,0.0903,0
3.0,19,restaurant,24.2,4,0,1,0.0463,0
30.5,16,fuel,15.0,2,1,0,0.087,0
6.78,16,atm,1.9,5,0,0,0.1126,0
49.34,20,grocery,6.7,0,0,0,0.0921,0
22.83,13,grocery,8.7,1,0,0,0.1006,0
128.04,8,electronics,5.8,3,0,1,0.0965,0
30.27,11,atm,13.3,1,0,0,0.0907,0
203.18,12,electronics,11.8,2,1,1,0.0712,0
39.93,12,grocery,26.5,3,0,1,0.1186,0
1.54,20,grocery,0.8,1,0,1,0.3948,0
150.74,9,electronics,13.7,4,0,1,0.2265,0
12.62,10,fuel,7.3,1,0,1,0.086,0
22.25,13,electronics,15.2,3,0,1,0.0944,0
3.15,22,online_retail,1.1,1,0,1,0.2754,0
42.59,8,grocery,8.4,1,0,0,0.1714,0
49.87,3,electronics,67.9,3,0,0,0.9698,1
62.14,13,fuel,12.1,2,0,1,0.0773,0
77.39,13,restaurant,6.1,4,0,1,0.0831,0
19.78,9,travel,43.6,0,0,0,0.036,0
14.05,8,electronics,14.0,3,0,1,0.0764,0
21.34,12,restaurant,9.4,0,0,1,0.1,0
56.71,14,online_retail,2.3,1,1,0,0.0883,0
23.97,12,restaurant,0.9,3,0,1,0.1175,0
50.17,16,travel,15.2,0,0,1,0.099,0
8.65,13,restaurant,5.3,1,0,0,0.0937,0
142.85,7,fuel,4.2,3,0,1,0.1071,0
11.93,10,restaurant,2.4,3,0,0,0.0967,0
306.24,12,restaurant,6.5,2,0,1,0.0774,0
33.01,17,restaurant,15.0,1,0,1,0.1173,0
8.59,15,travel,6.8,1,0,0,0.0902,0
40.09,11,fuel,4.8,2,0,1,0.1066,0
7.65,8,fuel,9.9,0,0,1,0.1204,0
33.07,20,electronics,0.1,2,0,1,0.1079,0
78.61,22,grocery,8.0,0,0,1,0.0584,0
36.82,20,online_retail,15.1,2,0,1,0.1169,0
19.69,13,grocery,1.3,2,0,1,0.1234,0
52.3,21,online_retail,23.7,2,0,1,0.0877,0
76.28,16,restaurant,15.5,2,0,1,0.0831,0
81.67,12,grocery,31.6,1,0,1,0.0814,0
48.96,16,grocery,0.2,1,0,0,0.0573,0
16.58,17,restaurant,15.7,1,0,1,0.11,0
72.7,17,grocery,10.5,4,0,1,0.101,0
23.86,20,grocery,4.4,1,0,1,0.1189,0
107.17,13,online_retail,27.0,3,0,1,0.0944,0
387.56,10,atm,9.3,2,0,1,0.1938,0
11.46,19,grocery,9.4,1,0,1,0.0829,0
4.32,14,grocery,8.7,0,0,0,0.1885,0
4.51,12,online_retail,5.4,2,0,1,0.3371,0
342.62,0,electronics,25.9,3,1,1,0.9686,1
53.49,14,grocery,10.9,2,0,0,0.0839,0
53.26,7,restaurant,7.8,4,0,1,0.1054,0
24.46,18,grocery,39.8,2,0,1,0.0366,0
42.58,20,online_retail,21.0,1,0,1,0.1947,0
374.87,22,restaurant,1.4,2,0,1,0.2933,0
6.31,17,grocery,2.2,1,0,0,0.2137,0
4.84,9,electronics,12.2,2,0,1,0.0613,0
13.39,11,electronics,0.4,2,0,1,0.0576,0
87.75,16,online_retail,19.6,1,0,1,0.0929,0
15.9,21,restaurant,6.5,2,0,0,0.1166,0
47.09,19,grocery,8.4,2,0,1,0.1375,0
13.42,9,restaurant,10.6,2,0,1,0.0891,0
12.29,15,fuel,3.1,1,0,1,0.0896,0
66.36,12,restaurant,15.3,1,0,1,0.0945,0
26.59,20,grocery,9.3,3,0,1,0.0969,0
15.85,18,restaurant,2.9,1,0,1,0.1269,0
70.92,19,electronics,0.0,1,0,1,0.0624,0
36.59,12,grocery,29.8,1,0,1,0.1249,0
37.98,15,restaurant,10.2,2,0,1,0.1021,0
4.93,17,restaurant,1.4,0,0,1,0.3399,0
20.43,7,grocery,11.6,3,0,1,0.0993,0
33.47,22,grocery,6.8,0,0,1,0.0774,0
11.91,13,grocery,3.1,3,0,0,0.083,0
304.35,17,electronics,2.4,2,0,1,0.0791,0
29.91,20,electronics,5.1,6,0,1,0.2937,0
31.58,10,grocery,29.5,1,0,1,0.0682,0
97.71,16,online_retail,4.6,1,0,1,0.0984,0
18.93,10,grocery,3.8,1,0,0,0.1009,0
56.93,20,online_retail,28.2,1,0,1,0.0917,0
135.79,21,grocery,10.7,0,0,1,0.1436,0
54.55,7,electronics,8.8,2,0,1,0.0764,0
9.17,21,grocery,52.3,3,0,1,0.0228,0
123.57,12,atm,547.7,7,1,0,0.9682,1
109.66,15,travel,21.4,0,0,1,0.1015,0
26.25,13,restaurant,2.1,2,0,1,0.1011,0
64.14,17,grocery,8.6,0,0,1,0.0801,0
74.85,21,restaurant,17.4,3,0,1,0.0628,0
47.21,12,online_retail,3.9,1,0,1,0.151,0
29.4,21,fuel,1.3,0,0,1,0.1084,0
29.59,11,electronics,2.4,4,0,1,0.1169,0
402.43,2,atm,86.4,9,0,1,0.9693,1
21.56,9,online_retail,6.1,0,0,0,0.1728,0
9.15,13,online_retail,5.4,0,0,1,0.0725,0
141.84,21,restaurant,7.2,1,1,0,0.1554,0
100.36,16,online_retail,5.7,0,0,0,0.0817,0
43.03,12,online_retail,7.5,1,0,1,0.1417,1
142.04,19,electronics,3.4,0,0,1,0.0871,0
4.88,19,atm,14.3,1,0,1,0.0927,0
849.68,2,online_retail,192.8,3,0,0,0.9695,1
27.51,9,fuel,46.9,3,0,1,0.0228,0
69.88,10,atm,5.9,2,0,0,0.0796,0
35.68,12,online_retail,0.5,0,0,1,0.0611,0
12.93,9,online_retail,0.3,2,0,1,0.1199,0
181.89,1,online_retail,259.9,4,1,0,0.9699,1
50.62,16,restaurant,1.6,1,0,0,0.0912,0
27.37,18,restaurant,23.2,2,0,1,0.1342,0
42.0,21,electronics,28.2,0,0,1,0.085,0
11.13,7,fuel,8.0,2,0,1,0.1864,0
308.74,17,fuel,23.5,1,0,1,0.1184,0
81.86,21,fuel,17.8,1,0,1,0.0745,0
137.8,21,fuel,16.8,4,0,1,0.2053,0
177.14,21,electronics,23.5,2,0,1,0.108,0
39.25,15,fuel,35.5,0,0,1,0.1202,0
65.71,21,restaurant,3.5,0,0,0,0.0999,0
75.53,17,electronics,12.6,1,0,1,0.0932,0
90.72,19,online_retail,12.5,2,0,0,0.1539,0
36.15,9,grocery,0.4,1,0,1,0.0873,0
110.36,8,restaurant,2.1,0,0,0,0.1188,0
12.82,9,restaurant,0.7,1,0,1,0.1052,0
56.12,22,atm,119.0,6,1,0,0.9674,1
229.2,16,restaurant,7.8,3,0,1,0.0868,1
155.22,20,fuel,6.0,1,0,1,0.1012,0
38.54,7,fuel,4.5,2,0,0,0.1301,0
10.6,15,grocery,26.4,1,0,1,0.1089,0
91.24,9,restaurant,2.5,1,0,1,0.1924,0
126.19,20,electronics,0.4,1,0,0,0.0673,0
51.65,7,fuel,15.4,1,0,1,0.0707,0
52.75,7,online_retail,11.8,3,1,0,0.0526,0
44.3,15,travel,1.8,2,0,1,0.0892,0
45.67,16,grocery,10.6,1,0,0,0.087,0
211.41,2,online_retail,287.7,5,0,0,0.9693,1
15.28,19,electronics,17.4,1,0,1,0.1141,0
9.87,21,restaurant,0.5,2,0,1,0.0655,0
46.91,12,fuel,20.8,2,0,1,0.1326,0
166.29,13,restaurant,11.6,3,0,1,0.091,0
175.22,15,online_retail,3.4,1,0,0,0.0784,0
54.56,7,fuel,24.6,1,0,0,0.0525,0
