amount,hour,category,distance_from_home_km,txns_last_24h,is_foreign,card_present,is_fraud
37.18,18,grocery,7.7,1,0,0,0
14.27,8,electronics,5.3,0,0,1,0
209.08,11,online_retail,21.2,3,0,0,0
21.74,12,atm,11.0,2,0,1,0
129.05,21,restaurant,5.9,4,0,1,0
37.11,18,grocery,22.8,1,0,0,0
118.1,18,fuel,13.8,0,0,0,0
28.45,19,grocery,5.3,4,0,1,0
21.83,20,grocery,16.8,2,0,0,0
30.7,10,restaurant,10.0,2,0,0,0
180.55,19,restaurant,20.3,2,0,1,0
179.78,14,fuel,3.6,0,0,1,0
19.39,22,restaurant,20.4,2,0,1,0
19.05,21,online_retail,25.1,1,0,1,0
13.66,7,grocery,2.0,0,1,0,0
48.9,19,restaurant,13.7,2,0,0,0
104.15,11,fuel,2.4,1,0,0,0
56.69,13,restaurant,4.7,2,0,1,0
80.63,9,fuel,8.8,1,0,0,0
201.39,21,online_retail,2.7,2,0,1,0
131.21,17,grocery,9.6,0,0,1,0
24.4,8,online_retail,1.2,2,0,0,0
15.62,15,restaurant,2.2,2,1,1,0
25.93,8,online_retail,21.4,0,0,1,0
74.0,12,electronics,12.6,2,0,0,0
15.38,12,grocery,30.0,1,0,1,0
27.69,12,grocery,2.0,1,0,1,0
7.56,13,online_retail,10.9,6,0,1,0
69.32,13,fuel,6.8,0,0,0,0
55.36,15,online_retail,1.4,1,0,0,0
84.97,16,fuel,5.2,1,0,1,0
13.93,13,fuel,2.0,1,0,0,0
51.34,11,restaurant,10.8,2,0,0,0
33.97,15,grocery,12.7,1,0,1,0
112.05,14,restaurant,1.2,3,0,1,0
19.9,14,grocery,3.1,3,0,1,0
175.23,12,grocery,3.1,2,0,1,0
18.6,10,electronics,38.7,4,0,1,0
136.62,7,restaurant,3.9,2,0,0,0
63.3,16,restaurant,16.0,4,0,1,0
4.41,21,restaurant,15.4,0,0,1,0
60.94,17,restaurant,5.5,1,0,1,0
41.71,12,restaurant,15.3,1,0,0,0
51.2,14,fuel,23.7,3,0,1,0
24.77,22,grocery,2.0,2,0,1,0
35.73,8,grocery,7.8,1,0,1,0
50.88,17,online_retail,2.4,2,0,1,0
47.96,13,restaurant,15.8,0,0,0,0
207.77,12,grocery,14.9,2,0,1,0
14.92,13,travel,19.3,2,0,1,0
38.74,21,fuel,7.9,1,0,1,0
10.79,20,atm,26.5,1,0,1,0
26.78,12,grocery,0.1,0,0,1,0
29.11,8,fuel,7.6,1,0,0,0
24.11,12,grocery,11.5,1,0,1,0
28.84,16,grocery,4.4,1,0,1,0
42.63,14,grocery,14.5,1,0,1,0
17.5,15,atm,2.7,3,0,1,0
30.55,22,grocery,1.1,2,0,1,0
18.55,20,restaurant,1.7,1,0,1,0
52.21,15,grocery,1.2,0,0,1,0
17.46,7,grocery,14.7,6,0,1,0
43.04,18,atm,2.0,2,0,0,0
28.23,18,jewelry,26.0,0,0,1,0
76.47,7,electronics,12.8,0,0,1,0
14.8,9,restaurant,0.6,1,0,0,0
40.93,8,fuel,5.9,1,0,1,0
21.2,9,online_retail,8.7,1,0,1,0
54.51,15,restaurant,5.2,1,0,0,0
40.81,19,restaurant,27.5,4,0,0,0
122.8,22,atm,7.8,1,0,1,0
30.5,8,online_retail,1.4,3,0,0,0
73.52,20,grocery,10.0,0,0,1,0
13.31,10,grocery,1.0,1,0,1,0
25.55,13,fuel,15.5,2,0,1,0
26.79,18,atm,28.6,0,0,1,0
108.0,18,grocery,43.1,1,1,1,0
171.2,14,atm,10.9,3,0,0,0
65.29,12,fuel,4.3,4,0,1,0
69.73,8,fuel,9.3,2,0,1,0
45.95,10,online_retail,0.9,2,0,0,0
18.53,7,restaurant,3.8,3,0,1,0
6.91,21,online_retail,25.0,1,1,1,0
29.61,7,grocery,7.7,2,0,0,0
83.69,12,grocery,0.9,0,0,1,0
18.01,18,restaurant,6.1,1,0,0,0
1.54,8,atm,7.5,4,0,0,0
22.24,9,online_retail,12.3,4,0,1,0
47.06,17,atm,19.6,1,0,0,0
254.82,12,atm,3.7,3,0,0,0
79.59,17,travel,23.7,0,0,1,0
313.79,18,travel,17.7,0,0,1,0
515.32,7,grocery,13.3,1,0,1,0
41.81,21,jewelry,6.2,2,0,1,0
45.12,18,travel,15.3,5,0,1,0
133.04,22,fuel,16.7,2,0,0,0
138.17,15,restaurant,6.6,4,0,0,0
33.05,19,grocery,14.3,5,0,1,0
86.16,21,grocery,7.9,3,0,1,0
6.85,13,online_retail,32.7,0,0,1,0
15.0,8,electronics,8.7,3,0,1,0
162.45,18,grocery,11.9,0,0,0,0
21.24,13,restaurant,14.8,1,0,1,0
35.35,16,grocery,15.8,0,0,1,0
8.11,9,grocery,7.0,2,0,1,0
65.96,12,atm,25.5,3,0,1,0
17.79,14,grocery,14.4,0,0,1,0
55.38,22,grocery,27.2,3,0,1,0
104.27,19,grocery,1.0,2,0,0,0
17.59,15,grocery,36.3,3,0,1,0
108.72,12,fuel,11.0,1,0,1,0
140.28,17,fuel,2.0,0,0,1,0
177.84,19,atm,46.2,2,0,0,0
7.36,10,restaurant,4.0,4,0,0,0
55.63,17,atm,17.0,2,0,1,0
25.06,16,atm,22.6,1,0,0,0
31.82,16,online_retail,22.4,1,1,1,0
62.32,7,fuel,0.8,0,0,1,0
26.79,13,electronics,4.1,6,0,1,0
39.54,7,atm,1.8,3,0,1,0
46.26,11,restaurant,2.0,1,0,0,0
35.22,20,grocery,12.7,1,0,1,0
28.87,16,atm,9.8,2,0,1,0
26.58,11,atm,6.2,2,0,1,0
21.7,8,online_retail,10.5,0,0,0,0
50.48,19,grocery,3.6,5,0,0,0
20.55,18,restaurant,3.0,1,1,1,0
136.83,9,online_retail,27.9,1,0,1,0
31.13,9,online_retail,20.2,0,0,0,0
56.87,7,restaurant,4.9,2,0,1,0
37.92,21,online_retail,42.1,4,0,1,0
11.64,19,atm,24.3,1,0,0,0
56.84,20,online_retail,1.4,1,0,0,0
40.07,17,restaurant,5.7,3,0,1,0
23.06,10,electronics,1.8,1,0,1,0
61.3,16,electronics,1.9,0,0,1,0
4.93,7,grocery,20.9,2,0,1,0
56.99,22,grocery,2.2,2,0,0,0
24.81,7,grocery,3.5,3,0,1,0
4.07,10,fuel,14.3,4,0,1,0
71.11,12,online_retail,0.3,6,0,1,0
80.0,12,grocery,0.9,1,0,1,0
40.42,16,grocery,41.4,2,0,1,0
19.0,22,online_retail,11.2,0,0,1,0
7.56,12,travel,8.5,0,0,1,0
43.44,8,travel,5.4,1,0,1,0
28.42,20,online_retail,4.0,4,0,1,0
79.6,11,atm,12.4,2,0,1,0
81.28,16,fuel,1.6,3,0,1,0
40.64,20,fuel,31.1,3,0,1,0
30.94,12,online_retail,4.0,1,0,1,0
39.7,12,grocery,6.3,1,1,0,0
5.32,15,fuel,21.7,1,0,1,0
4.87,10,online_retail,2.7,0,0,1,0
4.33,8,restaurant,10.6,2,0,1,0
7875.73,15,jewelry,684.7,7,0,0,0
34.08,17,restaurant,15.3,3,0,1,0
75.94,14,restaurant,0.0,0,0,0,0
120.9,11,fuel,4.5,3,0,1,0
11.09,11,fuel,15.8,1,0,1,0
18.22,7,online_retail,0.3,1,0,1,0
87.75,16,online_retail,19.6,1,0,1,0
45.56,17,online_retail,71.1,1,0,1,0
24.64,16,online_retail,17.3,2,0,0,0
32.97,16,grocery,11.6,1,0,0,0
45.16,11,restaurant,2.5,0,1,0,0
50.98,14,grocery,80.4,2,0,1,0
16.23,12,grocery,21.0,1,0,1,0
67.17,14,online_retail,51.4,1,0,1,0
17.31,21,restaurant,1.6,3,0,1,0
66.78,17,restaurant,3.9,4,0,0,0
53.05,20,atm,0.1,1,0,1,0
111.66,17,online_retail,16.8,3,0,1,0
15.94,13,grocery,12.1,3,0,0,0
44.36,17,electronics,23.8,1,0,0,0
59.82,11,fuel,32.2,3,0,1,0
17.21,14,atm,2.7,0,0,1,0
57.77,17,grocery,13.8,0,0,1,0
40.65,21,grocery,2.1,1,0,1,0
58.7,18,restaurant,17.0,4,0,1,0
21.25,9,grocery,5.3,1,0,1,0
53.7,10,grocery,8.3,1,0,0,0
11.63,19,online_retail,14.9,2,0,0,0
106.72,16,restaurant,0.8,2,0,1,0
41.3,9,grocery,2.5,1,0,1,0
129.22,19,restaurant,2.8,1,0,1,0
29.98,10,restaurant,5.7,1,0,1,0
27.14,14,grocery,1.7,2,0,1,0
23.81,10,restaurant,23.4,2,0,0,0
14.64,11,atm,2.5,2,0,1,0
45.68,15,electronics,32.6,2,0,0,0
10.08,13,fuel,10.0,4,0,1,0
27.6,16,grocery,1.3,1,0,1,0
24.17,15,online_retail,32.3,3,0,1,0
7.23,14,online_retail,30.0,2,0,0,0
13.63,9,restaurant,3.9,1,0,1,0
8.32,7,grocery,52.6,0,0,1,0
42.8,17,fuel,0.7,3,0,1,0
164.71,16,grocery,4.3,2,0,1,0
29.15,12,online_retail,29.9,2,0,0,0
45.41,10,restaurant,5.4,2,0,1,0
17.38,10,fuel,19.9,2,0,1,0
11.77,15,jewelry,10.1,0,0,1,0
37.63,18,online_retail,3.2,3,0,0,0
21.74,12,fuel,12.7,2,0,1,0
3.62,22,restaurant,9.8,2,0,1,0
92.21,9,online_retail,4.2,0,0,1,0
300.79,20,fuel,8.9,1,0,0,0
36.66,12,restaurant,11.7,2,0,0,0
40.86,16,travel,14.6,0,0,1,0
3.54,18,online_retail,3.7,0,0,1,0
29.73,19,fuel,1.7,2,0,1,0
31.63,18,atm,12.8,0,0,0,0
35.21,20,grocery,2.4,0,0,1,0
30.37,16,fuel,5.1,0,0,1,0
13.37,14,restaurant,41.9,2,0,1,0
41.03,11,grocery,5.6,1,0,1,0
51.86,21,grocery,39.0,2,0,1,0
806.7,8,travel,4.6,1,1,1,0
29.24,13,grocery,33.1,1,0,0,0
44.95,9,online_retail,22.6,3,0,1,0
63.89,15,grocery,6.7,3,0,0,0
58.82,9,restaurant,16.2,0,1,0,0
34.54,19,restaurant,3.0,2,0,0,0
163.87,13,restaurant,5.9,0,0,1,0
18.86,10,travel,1.6,3,0,1,0
27.06,15,grocery,8.1,1,0,1,0
70.26,8,grocery,13.1,1,0,1,0
36.1,8,online_retail,22.0,2,0,0,0
21.9,10,travel,16.0,1,0,1,0
134.6,15,grocery,5.4,2,0,1,0
133.92,11,grocery,32.4,1,0,1,0
153.73,12,fuel,1.5,1,0,1,0
16.43,20,online_retail,2.0,1,0,1,0
481.1,8,fuel,0.2,3,0,0,0
207.02,7,restaurant,15.4,3,0,1,0
8.09,9,electronics,37.2,2,0,1,0
34.35,21,grocery,14.9,2,1,1,0
15.03,22,grocery,0.3,1,0,1,0
13.04,18,restaurant,0.9,1,0,0,0
23.66,19,fuel,11.9,3,0,1,0
60.73,7,grocery,26.6,4,0,1,0
82.96,16,restaurant,10.1,0,0,1,0
39.32,16,fuel,5.2,0,0,1,0
12.06,17,fuel,11.4,4,0,1,0
5.83,19,atm,10.0,3,1,1,0
70.83,9,grocery,80.8,1,0,1,0
42.45,16,fuel,40.0,1,0,1,0
62.76,12,restaurant,3.5,0,0,1,0
110.64,14,grocery,8.5,1,0,1,0
27.32,17,electronics,4.8,2,0,1,0
102.32,7,fuel,5.7,1,0,1,0
36.28,7,fuel,2.8,3,0,0,0
17.47,22,online_retail,0.4,1,0,1,0
36.38,17,fuel,32.5,0,0,1,0
55.48,10,online_retail,4.0,2,0,1,0
46.43,20,grocery,0.7,2,0,0,0
16.52,8,grocery,8.3,1,0,0,0
56.05,16,grocery,2.9,2,0,1,0
71.95,18,restaurant,41.4,1,0,1,0
14.69,13,fuel,14.2,1,0,1,0
10.43,13,online_retail,1.8,0,0,1,0
14.85,8,restaurant,10.7,3,0,1,0
40.73,20,travel,31.6,0,0,1,0
25.92,15,restaurant,6.7,0,0,0,0
46.32,10,fuel,2.5,1,0,1,0
36.64,12,grocery,10.5,1,0,1,0
88.57,13,atm,10.6,1,0,0,0
16.56,14,electronics,5.3,3,0,1,0
19.09,22,restaurant,4.5,3,0,0,0
59.69,17,travel,8.0,0,0,1,0
2.48,8,grocery,1.0,2,0,0,0
39.86,15,electronics,30.5,1,0,1,0
36.62,12,fuel,0.5,1,0,0,0
80.96,14,online_retail,24.1,4,0,0,0
82.21,11,grocery,7.7,3,0,1,0
12.49,11,fuel,8.7,0,0,1,0
47.88,14,online_retail,12.4,1,0,1,0
17.39,10,grocery,16.4,1,0,1,0
152.77,17,travel,7.5,1,0,1,0
13.29,9,restaurant,16.6,1,0,0,0
57.99,22,online_retail,13.8,1,0,1,0
21.86,21,jewelry,7.4,3,0,0,0
54.13,18,fuel,21.8,1,0,1,0
142.17,22,grocery,8.1,0,0,1,0
143.68,16,fuel,13.3,1,0,1,0
55.74,10,restaurant,0.2,1,0,1,0
14.73,22,restaurant,14.8,3,0,1,0
64.05,19,grocery,11.7,2,0,1,0
7.79,13,fuel,20.7,0,0,1,0
40.73,18,restaurant,43.4,1,0,0,0
75.88,21,restaurant,1.2,1,0,1,0
27.69,19,fuel,10.2,2,0,1,0
36.31,8,fuel,6.8,3,0,1,0
8.52,9,restaurant,0.9,2,0,1,0
569.97,12,travel,18.4,1,0,1,0
5.58,15,online_retail,17.3,3,0,1,0
21.2,20,electronics,4.7,2,0,1,0
48.17,19,electronics,8.3,1,0,1,0
7.07,19,grocery,14.0,0,0,1,0
151.55,21,travel,3.2,0,0,1,0
233.49,14,online_retail,3.5,1,0,0,0
24.35,11,atm,2.7,1,0,0,0
6.78,16,atm,1.9,5,0,0,0
39.78,15,online_retail,29.7,2,0,1,0
32.98,20,restaurant,4.5,3,0,1,0
84.77,16,grocery,2.6,1,0,1,0
64.9,10,online_retail,12.7,0,0,1,0
35.73,11,travel,6.5,3,0,0,0
16.95,18,fuel,23.2,1,0,1,0
114.54,7,grocery,40.1,0,0,1,0
14.35,16,grocery,19.4,0,0,1,0
55.85,17,grocery,19.2,4,0,1,0
73.99,11,online_retail,15.1,2,0,1,0
33.54,9,grocery,9.9,2,0,1,0
26.88,17,electronics,1.9,2,0,1,0
23.63,13,fuel,19.7,2,0,1,0
49.97,8,electronics,4.0,4,0,1,0
17.44,7,grocery,5.2,6,0,1,0
43.25,11,online_retail,23.4,0,0,1,0
10.85,19,fuel,0.1,0,0,1,0
15.07,18,atm,3.9,0,0,0,0
10.09,20,fuel,2.3,1,0,1,0
28.16,22,electronics,11.6,2,0,1,0
553.35,2,jewelry,35.2,7,0,0,1
10.46,16,restaurant,8.5,1,0,1,0
37.04,7,grocery,1.0,2,0,0,0
27.69,19,fuel,0.1,1,0,1,0
17.79,13,jewelry,17.8,1,0,0,0
23.57,18,online_retail,0.7,2,0,1,0
91.44,22,grocery,4.8,1,0,1,0
9.45,18,online_retail,12.3,0,0,0,0
13.74,13,grocery,5.4,5,0,1,0
40.13,7,online_retail,7.8,2,0,0,0
39.96,7,restaurant,7.0,1,0,0,0
26.64,8,atm,7.3,1,0,1,0
10.58,7,atm,5.5,1,0,1,0
28.05,22,online_retail,21.5,2,0,1,0
28.26,21,electronics,2.9,2,0,0,0
29.88,11,electronics,8.0,1,0,1,0
76.15,18,fuel,24.6,0,1,1,0
25.97,8,atm,3.6,1,0,1,0
4.91,11,electronics,10.6,2,0,1,0
64.29,22,restaurant,5.9,1,0,0,0
18.29,11,online_retail,20.2,1,0,0,0
3.07,9,restaurant,3.5,3,0,1,0
34.56,12,atm,2.4,2,0,1,0
9.82,18,grocery,13.5,0,0,0,0
67.66,22,grocery,16.1,0,0,1,0
25.26,13,grocery,6.4,1,0,0,0
79.45,20,online_retail,16.9,3,0,0,0
49.8,21,grocery,0.9,0,0,0,0
103.85,9,online_retail,7.9,3,0,1,0
67.85,18,electronics,1.6,2,0,0,0
6.45,21,atm,14.6,1,0,1,0
39.75,15,atm,1.0,1,0,1,0
4.0,7,fuel,30.0,3,0,0,0
55.2,19,grocery,6.1,2,0,1,0
89.55,17,fuel,8.9,1,0,0,0
21.94,11,restaurant,4.0,1,0,1,0
37.83,7,grocery,19.6,0,0,1,0
198.1,11,grocery,9.8,2,0,1,0
54.96,7,restaurant,21.2,3,1,1,0
117.84,9,fuel,34.9,1,0,1,0
31.08,7,restaurant,9.6,1,0,1,0
45.15,7,online_retail,0.3,2,0,0,0
38.41,22,atm,16.6,2,0,1,0
4.88,19,atm,14.3,1,0,1,0
5.36,20,restaurant,24.5,1,0,1,0
72.09,18,electronics,2.8,1,0,1,0
312.48,16,travel,0.0,3,0,1,0
58.35,21,atm,9.1,1,0,1,0
285.36,11,grocery,12.4,2,0,1,0
19.99,13,restaurant,0.9,2,0,1,0
91.44,10,grocery,14.8,1,0,1,0
184.8,12,online_retail,7.0,1,0,1,0
41.15,13,grocery,9.5,1,0,1,0
58.91,20,grocery,30.4,0,0,1,0
38.33,7,electronics,1.9,3,0,0,0
7.55,13,restaurant,0.9,1,0,1,0
35.09,13,grocery,9.9,0,0,0,0
17.34,8,grocery,6.3,0,0,1,0
42.7,16,online_retail,13.1,0,0,0,0
32.78,17,fuel,7.8,2,0,1,0
18.5,12,travel,9.7,3,0,0,0
24.35,21,restaurant,0.4,1,0,1,0
188.24,19,grocery,5.4,3,0,0,0
36.9,11,online_retail,0.5,1,1,1,0
25.83,22,travel,3.7,3,0,1,0
7.66,15,fuel,3.1,0,0,0,0
5.92,11,fuel,10.7,1,0,1,0
46.52,19,fuel,8.3,2,0,1,0
69.65,10,fuel,4.8,0,0,0,0
21.66,19,fuel,8.0,0,0,1,0
39.0,9,grocery,2.5,1,0,1,0
88.15,19,fuel,17.9,2,0,1,0
40.13,10,grocery,1.1,1,0,1,0
10.78,14,grocery,9.8,3,0,1,0
39.78,21,fuel,7.4,0,0,1,0
30.49,8,online_retail,2.5,2,0,0,0
363.74,20,grocery,7.3,1,0,1,0
56.61,14,travel,15.3,1,0,1,0
18.07,16,fuel,31.2,4,0,1,0
66.49,15,atm,23.1,0,0,0,0
15.3,12,atm,3.0,0,0,0,0
55.47,16,grocery,13.4,3,0,0,0
46.91,21,fuel,16.2,1,0,0,0
33.76,20,online_retail,1.3,3,0,0,0
91.53,22,grocery,30.3,3,0,1,0
55.13,18,electronics,1.1,0,0,1,0
49.62,8,atm,11.5,1,0,1,0
23.16,9,restaurant,9.9,1,0,1,0
199.67,8,electronics,27.0,1,0,0,0
107.87,20,grocery,82.1,0,0,1,0
38.67,15,online_retail,31.5,4,0,0,0
9.5,9,grocery,7.8,3,0,0,0
120.25,17,fuel,3.8,2,0,0,0
9.83,9,online_retail,15.6,2,0,1,0
39.31,13,online_retail,12.2,1,0,1,0
18.3,9,grocery,6.9,1,0,1,0
11.62,11,atm,25.6,2,0,1,0
7.15,12,grocery,1.2,0,0,1,0
27.4,17,atm,14.7,0,0,0,0
122.39,22,restaurant,6.0,1,0,1,0
88.74,22,grocery,19.7,0,0,1,0
21.97,19,online_retail,0.5,0,1,1,0
145.26,20,fuel,9.4,0,0,1,0
55.79,13,fuel,3.0,0,0,1,0
30.72,22,restaurant,1.4,5,0,1,0
24.71,13,online_retail,29.6,1,0,1,0
6.66,22,atm,0.1,0,0,0,0
64.71,21,online_retail,1.7,2,0,1,0
54.88,8,fuel,4.7,4,0,1,0
54.41,18,grocery,25.6,1,0,0,0
21.66,12,grocery,11.8,1,0,1,0
37.16,20,grocery,9.1,0,0,1,0
50.21,4,online_retail,131.7,9,1,0,1
42.13,16,fuel,1.2,2,0,1,0
12.65,16,travel,1.6,4,0,0,0
45.87,22,online_retail,5.7,1,0,1,0
103.21,17,atm,5.6,1,0,1,0
16.25,9,restaurant,2.2,1,0,1,0
52.89,9,fuel,14.5,1,0,1,0
21.84,12,restaurant,8.7,2,0,0,0
35.15,18,grocery,17.8,1,0,1,0
18.66,8,grocery,25.7,1,0,0,0
31.41,14,online_retail,2.5,0,0,1,0
7.2,19,online_retail,33.2,3,0,1,0
1.93,15,restaurant,8.9,3,0,1,0
14.84,12,atm,8.0,1,0,1,0
293.76,3,electronics,3.5,3,1,0,0
35.04,11,restaurant,28.5,3,1,0,0
118.98,11,travel,0.7,3,0,1,0
75.12,12,fuel,4.8,2,0,1,0
7.48,7,grocery,3.6,2,0,1,0
96.83,10,restaurant,91.2,0,0,1,0
237.89,3,electronics,1288.0,7,1,0,0
71.41,8,atm,0.2,4,0,1,0
125.85,15,online_retail,0.5,0,1,1,0
25.41,15,restaurant,4.0,2,0,0,0
72.07,10,restaurant,11.3,2,0,1,0
42.88,11,fuel,11.6,0,0,0,0
5.54,11,atm,19.4,1,0,0,0
41.56,13,grocery,21.1,2,0,0,0
30.37,8,electronics,3.6,1,0,1,0
278.74,18,fuel,17.4,1,0,1,0
27.18,9,online_retail,2.8,1,0,1,0
19.94,14,fuel,19.7,2,0,1,0
53.98,7,grocery,4.2,2,0,0,0
18.2,8,atm,9.5,0,1,1,0
29.84,20,grocery,18.8,2,0,1,0
35.72,13,grocery,16.9,0,0,0,0
79.36,14,fuel,14.5,1,0,0,0
8.51,13,restaurant,5.4,1,0,0,0
30.24,12,online_retail,15.5,4,1,0,0
83.87,18,restaurant,2.4,1,0,0,0
35.3,14,grocery,23.3,1,0,1,0
6.96,10,electronics,24.7,0,1,1,0
53.69,7,grocery,29.1,2,0,1,0
75.9,8,grocery,0.8,1,0,1,0
73.31,7,atm,1.7,0,0,0,0
9.95,14,restaurant,35.7,1,0,1,0
9.62,20,grocery,0.8,0,0,1,0
53.9,8,online_retail,0.4,1,0,1,0
185.82,10,grocery,0.6,0,0,1,0
75.22,19,restaurant,0.2,0,0,1,0
82.87,12,electronics,4.5,1,0,0,0
31.14,16,online_retail,15.8,0,0,1,0
9.7,13,grocery,10.6,2,0,1,0
49.48,18,online_retail,4.5,2,0,1,0
56.13,21,restaurant,22.8,0,1,1,0
33.98,14,restaurant,4.7,2,0,1,0
11.76,17,grocery,1.9,3,0,0,0
42.72,19,fuel,8.6,2,0,1,0
38.64,9,fuel,20.2,2,0,0,0
332.09,20,grocery,2.0,1,0,1,0
109.32,3,atm,143.2,6,0,0,1
141.44,13,electronics,32.2,1,0,0,0
11.92,15,grocery,11.5,4,0,1,0
257.1,17,atm,1.0,3,0,1,0
6.28,15,electronics,1.3,0,0,1,0
13.76,22,grocery,11.7,1,0,0,0
87.25,20,online_retail,7.2,0,0,1,0
57.19,20,grocery,35.5,1,0,0,0
11.03,19,grocery,8.3,0,0,1,0
63.66,17,fuel,13.6,0,0,1,0
12.04,13,fuel,14.2,2,0,1,0
36.74,13,travel,14.6,2,0,1,0
9.7,7,online_retail,1.8,0,0,1,0
23.3,7,restaurant,12.2,4,0,1,0
46.75,11,grocery,16.5,0,0,1,0
17.55,13,atm,11.7,1,0,1,0
23.84,18,electronics,0.2,0,0,0,0
39.14,16,online_retail,15.7,1,0,1,0
88.85,10,fuel,7.7,2,0,1,0
8.86,15,grocery,2.5,1,0,0,0
108.82,9,grocery,0.6,1,0,1,0
430.79,19,fuel,7.6,3,0,0,0
47.19,21,atm,25.3,3,0,0,0
20.38,21,electronics,7.2,0,0,1,0
68.01,22,online_retail,10.0,1,0,1,0
8.56,15,fuel,2.4,3,0,0,0
48.69,19,grocery,9.8,2,0,1,0
50.28,7,grocery,1.1,0,0,1,0
17.5,22,online_retail,1.8,5,0,1,0
44.81,8,grocery,12.5,2,0,1,0
30.31,11,electronics,8.7,0,0,0,0
44.49,17,restaurant,15.6,0,0,1,0
